c1_0	c1_1	c1_2	c2_0	c2_1	c2_2	protein_id
220788.53681291357	199531.49263765148	215991.8850729648	713441.5616112314	679466.5337651041	724498.5033407018	P00018
417872.6266336083	421784.91815521824	389883.96908623463	732754.5964341488	609750.606578999	684065.1322210913	P00019
224449.5022283718	218074.33163126593	220933.5375208348	689836.9934185061	666324.0990679809	643053.6924005157	P00020
272022.86700996413	259825.38460572073	374602.0055239312	285986.1785938532	267277.9119373213	320946.4661345475	P00021
165926.17680809312	284195.5819665421	482018.1543221763	166960.04596737065	106497.81976530916	154466.87076929165	P00022
268784.6652996901	222453.89895905412	179753.63144712997	236392.38987719873	241656.39008312966	284026.82631655526	P00023
365713.2964252745	352029.35491921636	325097.86749399436	354833.75846505055	355009.5803629187	455097.34648279246	P00024
202950.01945266585	215074.4325962095	221059.0515683357	203881.520057748	205082.22100043745	215207.65961879492	P00025
230719.70333712458	234700.1176910925	231452.35789084088	234912.3369110771	229080.7609356753	226811.3178652842	P00026
411537.46262012	426988.58255258703	425737.44565018394	413565.6306199691	435903.3262810318	472048.2874334384	P00027
183142.49010893342	174650.59772222457	196862.22028867019	501387.21740556887	508005.59195859387	508250.52152436785	P00028
101321.69035008465	93081.24584092484	182160.76355980668	217812.06540315703	208704.04345692004	196965.97001858975	P00029
394249.4044368596	542512.2611460504	403188.0741429771	331712.47607881064	253451.15223885427	239602.57131987656	P00030
663460.4524682929	522194.21409245336	406434.3618253571	479079.603691194	670019.7233754727	573732.2236200427	P00031
216111.52054199754	225322.12032877802	258615.71438719172	159551.11960035676	126790.60397571043	134527.05505003466	P00032
135916.1775553915	137735.01647521922	132857.15854361534	120803.71471798678	130698.80082833015	129535.63866672204	P00033
249469.44451186678	297945.24788610404	220477.96131434524	191379.60923536346	163979.9860252999	242243.7111055407	P00034
189910.04375634104	207324.74078862066	251519.84300397715	184906.9632413606	242413.48993709614	153551.2390945739	P00035
282404.13136814424	295134.41563031793	272885.6051392361	339381.65959328983	509106.66566968965	493789.6280193355	P00036
183758.6568686029	179919.89335623028	180129.14039751163	393601.0840383277	409022.8632015385	395917.8136443103	P00037
271401.12909438583	261943.0096475574	276083.9364923873	221079.2878296123	211528.38035034158	220813.36515998948	P00038
187236.28296170058	29587.591656440814	907177.8572637661	23288.546149742182	17759.840926291254	79417.13743028171	P00039
106374.86911682172	130904.68388516028	186032.22879244504	154462.29282634662	272141.61596172047	294240.44269652036	P00040
327270.9188054624	338648.4370907867	353440.7488691881	323084.49976152997	346154.0467386053	319690.2762336797	P00041
522756.2161842137	515661.9797328904	541287.4546985247	1491609.1229095338	1408969.3614875085	1345396.5521076326	P00042
213050.7148365177	296399.3401165581	409802.0388038959	220411.11633132855	185123.99948448146	239544.4423891396	P00043
208809.3783994369	200621.6033756978	169728.86738688726	264752.6417113001	84859.62230194692	222029.71087850395	P00044
243376.11641999317	244042.9168221651	271800.69711036264	95513.98821043067	95680.81412045221	98413.6180244832	P00045
329901.9955931216	318131.21073833626	303202.5185819261	100179.0038031318	109740.44567794832	104260.19077849394	P00046
152690.43869380932	136255.83343589582	127856.78035235629	297308.7256686203	220648.59807039384	211830.61158349455	P00047
310248.6870338871	255416.95567290642	258927.17343569323	422561.3709693756	422110.76825746015	433981.79996575776	P00048
286074.4430046112	236122.87679387798	175498.2829697356	165901.89842929787	160752.69898572486	160850.6121636133	P00049
511137.38220221625	487864.89273863455	485887.58772597247	317253.22946482705	260784.0538401905	243439.25222228517	P00050
4581398.674025864	50205.23004271798	134425.34645087708	7495.5110994770075	52462.51431399484	14778.11548191758	P00051
115600.36986910335	783578.9449340301	374889.17605116224	1095613.595660876	54007.96566659027	5602621.373361486	P00052
170472.12702056134	189783.97338929816	186025.89652429783	69299.04147359374	65492.11349187309	68144.91783234332	P00053
314593.06491759437	321419.63595269935	317593.25018224376	282582.7157647403	323653.6863334926	307361.2189158315	P00054
271512.27963337017	268724.5569723132	304671.985727261	156596.8750749019	130013.96914210633	187061.25590496263	P00055
200579.6572988164	190854.05485767242	178740.23401410185	186041.18374480645	167091.50646121806	172221.62979395577	P00056
208706.3338590013	346632.6047259432	236133.87074898818	366443.36579595634	786996.1865903814	472704.46781915985	P00057
405473.91417407367	391131.0298203249	386651.52387020923	113276.99736736582	132976.43369675064	129505.72313966502	P00058
226557.8530160558	227855.63458857665	256636.5335106561	306195.36390168744	349194.1199810788	324150.59991501045	P00059
158504.52870230534	151880.63227238378	131158.79130654794	125959.51552040406	134529.87705789867	132367.2804744789	P00060
238878.62960189817	294500.9791084246	265275.6380163443	83507.34939291526	77495.604648845	84841.06031322613	P00061
179681.63573066468	182204.6760896873	207177.71256002135	89564.30840167824	142348.78306593967	116176.33457824317	P00062
258016.70918935267	212222.92514086494	214919.17805966467	211760.9986825074	238067.95543141867	234457.19088838398	P00063
248112.39429672272	240805.28695606376	237520.74234921078	100804.01363063691	98543.09707057833	97370.97443508335	P00064
172928.62001473425	142757.892404392	167382.16433906526	88259.75412902405	96721.20593472541	93363.71854302358	P00065
134196.54170861663	163612.39431738888	148171.49910373887	515960.0850116536	469197.4312777103	486994.4792281345	P00066
303354.5022198234	319035.4370181925	312043.34035006916	111572.87511973854	114255.01162261062	113703.61843503386	P00067
254615.37811932535	152430.59779123054	180734.0111551899	254147.35586278047	381485.4177124375	334768.3625351158	P00068
82625.8665887814	102517.51036562648	81103.58540800026	155976.3682414537	116993.16192349966	173151.5903311071	P00069
361186.97807919944	464058.76799955673	390086.41286606924	247318.90986506717	303067.3054601874	210821.59662607504	P00070
280170.13195708516	290730.2733664043	270764.43570816895	293184.6134525422	285068.0750281475	294346.22769777087	P00071
170678.18427605505	216113.58099508495	202790.65842327755	161450.6403897995	129697.12969983299	114819.1066403173	P00072
157478.42613057577	131791.89598560668	175081.73210412997	238081.45327650817	322973.2866677648	195585.09402075355	P00073
345782.30182388634	341127.5476992825	353162.8558382745	366889.49112839665	359931.68065858114	378444.8799487547	P00074
258650.0021531109	350205.4700766784	321788.91122693464	392961.0017928443	371092.6993770784	623094.1170026697	P00075
573774.0674139021	606906.5080000743	575706.8941703184	1850006.3569630045	1768149.2604895164	1634152.52639101	P00076
307458.255679924	305294.4109429874	298814.13994942774	967537.178427319	957699.0041831207	953103.2643917539	P00077
293821.25609217637	317495.6152564128	307176.5871251636	215349.5016712707	192011.6308203479	281487.5330489689	P00078
17754.704199106825	156827.9494294852	52083.99000398131	578700.7072129485	11424.50339528225	14639.127836046602	P00079
328497.52452195203	353865.9595003661	320966.1280281603	353837.3982084417	321359.14495980274	368776.60652883153	P00080
287513.3345855582	234574.47389522093	398596.7059513121	428602.28147415613	661216.0597296886	485653.20552258345	P00081
491388.51057627244	441198.8453127167	353274.1971827494	232988.4192287788	282456.61255035	253098.10464604342	P00082
202478.4561582274	294306.0975023638	174222.75777114453	146554.05016795572	183344.61209703263	176552.45529347417	P00083
213658.36118130307	208078.43579456717	154648.3288967886	319144.10367383657	422838.7755859016	385140.95429265156	P00084
221303.2808259825	264673.5566838472	175086.68813179285	148474.86934941285	160656.4991064572	136124.02188967261	P00085
371526.9250638185	361345.69153371296	349663.2859122762	394258.8947461011	330964.77292890137	358257.58669799275	P00086
457753.173092967	389697.51420996955	453993.95309084083	226268.73347178247	283597.313769768	296992.85839283315	P00087
231638.78450550334	147388.62764259538	177960.89951628188	189905.06104462655	169168.64868586912	94941.09171585209	P00088
251873.449635205	228127.58682851386	209421.83710618803	365141.6839536891	314369.21524778206	314062.28232326824	P00089
296679.1762321127	315997.38894214644	313798.94586150657	297370.2075269062	298727.108758475	303118.41156200715	P00090
190048.14201985378	265472.6337234127	208347.89428316226	189180.07306065722	171866.44153410874	195356.24369908255	P00091
366250.33445194946	200424.12673441082	370480.7268240024	319695.11235397315	308060.5199949488	277735.387452632	P00092
169051.37664448054	125597.53455079747	129189.61104926468	183780.46478144685	157826.60181941141	119109.74027513915	P00093
181640.37966595232	193683.66995808476	201694.1615355777	71626.52438821652	74384.59762566708	72812.81180883874	P00094
266953.6235478253	180083.3349848115	217692.66443101986	148484.2014256848	190194.2505999203	85658.97848549685	P00095
106813.0253595692	133736.90977569344	150780.61136925383	214986.3608245586	196160.98787852144	234981.8051765153	P00096
197557.2689483304	183302.00069057394	191177.53842277132	557257.6647976575	581907.9672934072	542575.6810957148	P00097
191073.1455267753	190073.75766472556	196381.97300360925	64447.558904966565	65506.80281207425	61285.488870768946	P00098
289231.7367571556	207247.84254910782	228320.46143532824	151527.4759414522	196311.77571670906	141120.61078628575	P00099
378058.7045084369	379313.39140719204	404202.8873824935	327186.7662227737	344666.685195624	383743.05077506445	P00100
206092.85841810014	19043.126262784514	84789.07391259083	56821.318677850635	169492.21171759308	683379.8969888373	P00101
194410.94616803483	160969.1892019797	210820.83718392128	172050.55662651965	160718.5833746749	138645.41430073648	P00102
194423.7644228789	217712.18819317792	207591.7789196298	161422.92069757893	124974.04102247921	89941.36467404866	P00103
24869.338916718618	59027.18786511494	48237.93943506519	1010618.7422355744	40257.01823166182	385060.65057285357	P00104
185558.00628423228	185111.90738056504	170563.93521701606	314254.4728533449	292161.6176690416	321763.6866339219	P00105
183846.53675742412	167656.5510605409	215707.68336707292	208100.2099140098	185706.12152966927	200618.87950454155	P00106
310518.7364306374	275703.915967961	317874.9759201063	390259.4507084482	371543.11819237407	335231.4217423989	P00107
237473.27280911856	250335.58201349466	232968.6735286319	268762.9716894753	244851.62196252035	250763.51055261225	P00108
338971.7874754947	354419.9445939817	317108.7996198163	285235.3053358501	311817.80576484575	325297.3472378473	P00109
263913.6952090402	269132.86089866306	317465.0412000328	151033.43529541855	161314.8069070656	122572.92648074789	P00110
321490.8720566213	353599.6523650288	335291.3800515722	985992.4001378879	986055.9594889327	985095.7905950758	P00111
163808.41455125966	150909.88553754575	146298.4314340896	104254.35795422162	98494.06185660433	125565.7021132788	P00112
263873.94585047447	263585.6560062654	253323.394095814	768284.9303972501	783007.7546032844	794036.8548240399	P00113
241927.95572357698	259173.2574422558	243379.13884824232	760077.2260451249	704948.4823060775	652283.4589747353	P00114
174699.6617707352	180063.575201739	178285.21593633192	280472.7754120107	266524.7949767692	258564.85271045112	P00115
156174.25450984988	155291.54173547355	148507.18242659885	153469.7088220522	140241.39589943652	142153.6420173552	P00116
466584.585375202	393408.55898419884	299567.15316606936	439161.3904999583	426413.6927296301	223862.2342589714	P00117
217365.96796578894	230737.6586953882	225867.26727630108	68208.306833427	72539.54776232643	65555.11456600479	P00118
157431.38243997004	190552.27184013772	174156.0720672747	249959.31490859564	245318.00175189867	348093.2426549567	P00119
218977.20288836007	246764.79681791898	252962.98859353326	76525.03058419986	85287.79680853445	84812.9461258507	P00120
386825.8874061434	384271.66278491664	386088.5177095444	1178682.496987205	1179608.1097077215	1175771.22866372	P00121
119990.22832914525	122320.76007519232	113346.89859945039	38693.398478008676	37669.90136332246	41650.42750514583	P00122
161007.4641726027	172167.3984445394	103531.96506662575	324509.58619441796	172960.51803320256	212156.92807811542	P00123
211615.23563229552	165253.24405868322	175327.91428568654	110159.00946099107	157845.0667323639	111978.04643747647	P00124
459100.85803204606	452896.64465153584	440195.8762587928	136738.04856293357	146590.3955604873	134395.3814552291	P00125
330457.3361127106	293039.8748988187	229478.9873154169	170343.7629946794	185512.89420482295	171862.61408677103	P00126
372452.51121745945	303250.35907736083	285623.13931528124	262987.76784266834	266570.0284682499	253593.9585695308	P00127
242756.80378683232	131590.3856115538	185417.73331406867	136014.73322093015	84256.74865992443	90371.5256644793	P00128
177214.6202991455	214424.82185290486	187217.93551705877	207621.43082875968	181577.64212974938	263401.7835603059	P00129
304167.9084474739	324814.70501168125	291763.9198445459	823035.4562019685	844986.5569844474	788920.3306603617	P00130
253042.63895090178	266505.87939648016	282823.2988032256	393248.15544014267	440518.5846320108	373542.92710888264	P00131
248452.29960460725	439209.3652281711	281462.98737516056	365908.83350930485	399023.69654852233	408275.6140073021	P00132
228819.81988731396	242127.49461002203	241301.24047501525	190956.73775239193	129589.07842832291	247951.2722032683	P00133
276946.1529722413	314840.01868922234	222957.57653452386	328467.583661195	317021.90430698736	462362.9035996968	P00134
269647.94193480676	285971.4087972524	268887.1123722625	95012.48062245363	95876.82816547864	102509.12482143051	P00135
314707.11446438043	323016.4560631011	313887.54984347307	344905.72270657006	349251.93742779427	336754.0977809695	P00136
317849.4129590223	276004.0229671436	308058.2029019289	247490.7479336807	226679.01882067937	221342.4694635486	P00137
123543.56323966148	112530.18542156924	120628.62232015107	188243.15159873108	220809.8322034222	222135.60022987495	P00138
132163.16931944247	104352.53835903454	119030.45320047482	75326.50701935981	76905.75219861549	113194.16371530727	P00139
280335.0543830261	353790.8482555483	441024.2325024265	422498.7237948702	478883.6504115765	487327.3269096732	P00140
374838.4185144665	295155.85555846826	432254.7529679071	543701.5802819125	528956.8693470893	416071.25973329	P00141
184470.2987769368	178548.0164612788	181929.22614466408	187300.96666166728	174969.73311672418	167694.4650423436	P00142
139850.55597453573	106824.06696594495	109732.67484662401	205549.56550479724	228291.56115326355	291048.7065500748	P00143
296738.78030491644	293723.45153921936	217813.04893531333	408319.82460440305	474369.12937204144	401822.81368724053	P00144
357374.3803337621	368458.48510217294	356308.1599194125	372878.0633812319	395144.2848543513	366634.1035732683	P00145
513985.6409941372	500323.74912750203	458147.61320256215	1657370.2525107504	1676823.5991610677	1675276.7452259646	P00146
311545.3822247441	323554.9252155845	334867.9474982817	303921.63420405425	291873.6858988025	267336.96753012785	P00147
231032.35708405435	230312.37324171342	232846.89334431183	650657.3221820298	612592.089877554	593463.4143176136	P00148
179199.11960462295	185007.5707787811	190585.08446878023	180409.27794207662	197523.10816895447	195519.19392993848	P00149
239151.1975788928	290221.96027710295	264526.47122621996	236557.6286239315	272679.0405383934	280468.7618864139	P00150
275280.70952693874	219704.5867195268	268502.6594186962	184967.8413336152	142828.15848873713	140388.2970491825	P00151
192884.46329915535	193463.4843210002	186689.56196969762	69039.84250647422	67813.30820330097	66788.58678081288	P00152
505217.60785580927	587962.127024171	548985.0836430665	195570.8716724134	192426.33653023647	202918.5162870756	P00153
360652.3677848328	540453.6333097796	407618.77537999675	942081.3821543022	809049.1408772717	845343.7892426807	P00154
356655.9374817375	379901.2023659463	472136.1108915314	787784.397693668	706262.6169840009	678397.0614470289	P00155
194172.12255033955	195441.76864129366	186898.55174218118	570324.9443963288	548078.9642608238	586156.4739779235	P00156
563524.6398206087	349131.538723484	205118.24559468997	258353.7977098818	179361.53825918684	190084.6075789889	P00157
339243.860874926	331678.437054051	317076.52979216335	843674.3056037517	884282.3938005585	856046.4526321223	P00158
238677.10634671035	279664.67936422315	320776.3531080785	199178.9795781071	154797.9001057395	252740.56335652448	P00159
287079.5481370896	379921.83426730236	371934.5329420767	542392.7670370494	570509.8904252747	611309.3684193934	P00160
312330.84814261703	337925.3948433963	330012.9082079629	300035.75750675076	373498.7286807179	305039.20324217307	P00161
352530.66689759574	351397.84454489767	347047.5019385121	476989.36349004897	550886.685687623	424689.73950688774	P00162
317037.7788197241	288384.32005391375	282229.69298082154	543973.0633098441	615408.6196830452	469687.15996185795	P00163
339177.5180841998	291795.7645599855	240336.27723116367	388837.5679880729	385527.16347185726	355260.18579106353	P00164
154648.74104365503	143782.01802687522	72400.93481111518	54589.902048752876	119132.94717224131	74751.45490688177	P00165
273121.96931121	278794.3674766453	255289.68013244827	260281.7972950602	297147.2315194094	280744.4847954658	P00166
204248.82431678302	192146.59930557112	202050.18058681683	308332.23424255365	394374.6674361713	323852.056241583	P00167
201164.74080665698	154191.02315200382	137524.2694204243	217806.90956088615	147294.18398232615	229978.96439102571	P00168
129863.1390844207	545254.3295614572	10929.114030143304	935039.297735306	571588.6542837004	1064904.527459818	P00169
474570.5938761541	509411.6864759926	431898.37822697195	1387169.6439526028	1256942.6814469397	1185560.6013962373	P00170
348558.3000264844	415224.7578280909	365131.81993628887	242857.69780659227	173134.9123006384	164789.96542723788	P00171
323198.0173230636	309686.3554468819	259190.32099107283	221396.2563386916	243019.3967087846	230081.074575261	P00172
421241.13292039733	441918.52074449236	402915.2715656191	144079.66884986713	143722.64316990116	141880.5186650439	P00173
257923.44296718884	263867.5162746092	263368.22508247977	617839.1611591597	676777.319984416	620034.9771861447	P00174
279541.00704670197	278980.0813050421	283772.84328532865	756651.6325538255	818418.5111907431	785640.0757999101	P00175
191890.18807088988	174420.0987992446	178680.64378884112	64139.26914179904	56706.429382615854	61751.40675274291	P00176
301037.72223421466	305053.7125190241	301365.57365611417	114004.34354868453	108012.3356637672	106882.9730240219	P00177
255796.58247585266	268883.2010130102	263121.3221839771	805718.9099715477	838747.1207061325	718944.935514948	P00178
161540.19993342302	156707.82279554976	182053.15317924443	178311.54251480263	179667.15094653197	166068.20540896634	P00179
257159.70951268869	264177.8633103345	253769.33435581994	260572.51958618296	278129.98605381354	234200.43458841532	P00180
241535.71935243192	243346.94273773817	276735.32057882875	101453.01366302045	95452.30735079576	96306.34811938228	P00181
404032.73859798984	575160.8725492605	442240.3755522989	267674.37009798735	320400.7061911572	271697.0359614529	P00182
354811.60160280793	357341.5490041363	365549.1753740202	397975.5481913527	385942.6466116439	388382.9927761651	P00183
256799.8085440325	244256.34370548636	279353.3831555035	451736.58437330654	386046.7342036436	430037.2519250132	P00184
278988.07386794523	261530.87518332258	353410.3458816789	379317.4835988292	434146.5625667391	367112.08952117513	P00185
267070.46716835926	247266.26580524884	265670.1645881982	89066.18959733639	80231.88910206287	85418.04492026664	P00186
227418.7709728897	258672.48583469968	260845.8021944443	278758.7933011999	334921.5555660607	298904.7750764283	P00187
152385.83393402037	174880.62038693638	191402.73002880835	60091.42276680922	66650.88790883837	72565.08565592632	P00188
211503.9773139374	244436.21913505852	190785.4997629611	242019.99924776985	174948.83519167462	179315.95624240668	P00189
216715.86993758666	209136.2929906127	193253.1912197401	192052.37006242436	203661.85464537278	192281.03426538402	P00190
3713.949934491951	62211.463608643644	8863.804827467391	1811659.9610460734	253746.61953644184	57910.056388078236	P00191
42224.05495778257	7771.9261878694315	23885.66593660454	299792.97274072893	1686933.9183521688	198543.89515912108	P00192
291853.472692914	276138.6795964966	253532.72771369596	302369.1470406828	209667.49379496594	305132.1427241592	P00193
149609.4312201738	130938.89725246187	137063.20067254073	138892.5949568584	142416.88905875105	142535.23945920778	P00194
8504393.536099143	12273.705113055003	99968.71328695804	146504.20946582567	54303.37340720485	64976.818940907644	P00195
331733.89362989966	372272.9464597041	387678.5477615215	1087547.6877545721	1114292.9378479167	1212375.0230432274	P00196
423676.11369366123	378735.7457045907	322410.62409772363	639214.4301522279	671497.2109187135	713830.1734768703	P00197
330772.1659184009	300380.13999843475	284818.0647218032	168578.47094138688	227197.85664658804	175151.03591745696	P00198
223613.97870087888	246351.36313157345	211956.58591991535	437532.2413039549	463447.7618478073	377217.5736207729	P00199
177396.90508563016	212331.59684769576	168560.87464324283	214962.8651099002	309691.6958663037	292353.83740037034	P00200
192532.5106460804	200434.09834613896	139802.35726680432	266678.2883532839	236674.53650448358	255563.17516538472	P00201
311001.8415265154	293574.8525050864	277786.772171972	392451.91924383916	349557.9427182159	427427.2252053316	P00202
242161.6925430791	276727.2655752661	385023.52022490255	168779.7928746496	177339.1066269225	163341.13418197315	P00203
185501.43179663908	32023.44904821154	78939.7286587951	1444304.1573942902	114397.17479874061	1308527.5111606144	P00204
423243.8164618306	436155.2192653973	387582.42600822536	603019.6840890106	454682.3169743716	413801.1242886722	P00205
219196.3212876789	244575.06317076058	303020.48119212675	466694.9102412973	451761.59034092136	409795.63452101644	P00206
130857.0000531501	183756.48770721827	131220.95566526867	67034.86550036636	93837.5327890485	99176.07452507669	P00207
274886.59211813245	253818.09658787635	255540.26095451295	285521.4462131739	339335.1217975302	257691.4584580831	P00208
230783.7527852939	302608.6807034785	261108.86299523187	334257.2103970822	342133.1087041004	288472.68432920054	P00209
250240.09708724168	237615.02439727093	226250.7366313984	642940.8800055499	627330.432065438	628129.8254164555	P00210
234492.03430816354	199971.72530559637	218108.13340033893	193128.4439077871	210589.9864572508	204829.11560701602	P00211
300630.85650911607	241075.5359832314	248390.72765317193	184133.42396319477	211938.1743806086	170911.7793673503	P00212
55234.05465626759	188349.3208578066	1495994.292091905	263160.1637142207	1013921.4463207005	114043.74299402258	P00213
198708.45827728952	243157.60333635623	227216.8607940571	98595.88800992368	97306.99551536835	168407.01175589746	P00214
335181.21641501604	348541.15645056334	361163.02656493156	377232.7092553718	357276.63991365174	437534.652525225	P00215
235716.8565448737	217302.8350643084	216769.95078056175	206723.0854775102	200191.89564974527	201645.83311549545	P00216
303286.6556438975	297761.1990633242	307898.8858277477	246169.5512045893	279825.78524116636	287162.7042908821	P00217
237422.40491135666	264070.2200685422	258156.8049599282	227152.4673962479	276337.8027997985	289974.9209886593	P00218
24490.86523027721	146463.32564288116	152899.2064109362	61616.435355380665	62556.67214102436	55094.044841735355	P00219
289093.24650977406	262508.22873062914	183777.9329451034	181788.71047282586	184708.75394830006	167935.92757393786	P00220
500545.6476708557	438655.987846517	439417.27272359043	428140.6916271722	317385.91750070173	416231.14083291596	P00221
150765.0599613343	136184.70994751668	227773.39896728055	273516.25146113784	246297.74791738423	221747.20651841583	P00222
127386.93391718311	131289.27332990925	121326.61073310523	135515.4149145249	140747.5981737218	124620.65215758915	P00223
134949.1334021397	127898.62957436068	133471.68810348754	130468.4883296358	143081.04348053897	185161.7674594684	P00224
258564.32170717142	269406.14701765263	301825.20463838713	97760.19063860818	114467.58041787999	101450.41022361247	P00225
329561.57432649797	289104.7768639909	273291.3380424458	203707.7794086454	189766.82496664757	207398.09537609512	P00226
262518.697678674	251220.8629334275	247563.7744177999	248591.91837895283	263982.0694383539	266966.5670964501	P00227
390694.69813210657	390676.7985451949	403947.2398623451	138470.41579023466	136796.56913831414	126730.51231016783	P00228
102286.1698400324	98863.98061387568	102268.22501778163	113249.56078612778	97032.90611708893	96065.4651235833	P00229
255912.6141819092	311434.468323107	330254.43844244396	565087.9465723861	643476.2307766663	383663.11808930954	P00230
482329.3590539894	441343.9546268945	469462.8201399391	1194378.911489002	1292070.8931753782	1309881.323463051	P00231
188492.93915119467	162530.30867418746	177369.66124774033	592818.4897171081	646060.5499607006	655621.835905603	P00232
240563.0426080695	225279.25625972854	237463.96137255346	89689.38396907439	80490.03985230735	87303.1919582186	P00233
209225.1393169176	199834.41772151907	192784.30347516207	191257.83078972995	176407.26286737865	183335.85232002122	P00234
191678.85593547465	198823.55156699152	186310.94510963373	172819.852806072	179503.4244910212	187568.27865051705	P00235
390419.1457998176	159605.87970527876	245272.55321399897	126775.36795684567	208236.31343091716	131275.739827444	P00236
420304.93672204495	421482.3678375055	428627.89013256936	1129573.76275629	1135529.877974039	1117463.6916695666	P00237
458213.796162906	515938.40071071015	493225.9669854209	206292.01938067202	185210.6058190997	175899.37665268395	P00238
230286.33519745493	274347.27134725795	236273.02650988987	135180.07326610104	123757.42763960616	174910.45478632316	P00239
470604.9059010581	480813.01516126987	526821.0554197707	156071.30315699012	194640.34228837545	185911.90393298588	P00240
276903.9277891378	272359.39393085387	263020.1672515269	79915.93965027736	83575.92021465678	80257.49334585239	P00241
496381.5824956997	507292.206489479	530873.2334241612	516143.86816006736	535859.8263385806	493254.45099059393	P00242
229635.9545430944	271678.3094127769	233389.50948124303	171328.96070047803	135453.4177181016	139817.8681833448	P00243
287848.620014896	293758.3828878606	252478.84932150497	516328.8118153164	468445.7111654385	489723.6631194116	P00244
319799.91447196767	309850.27387021825	309663.6872468745	855193.8919284262	746828.5475192349	735986.2191796087	P00245
755587.7311206459	776146.9877582662	687992.9431696574	2157041.024829105	2115692.3629844	2283344.492417751	P00246
367366.1934839624	317188.17497517914	381061.7720370809	293820.69105196797	233480.7249881949	243606.48248209973	P00247
133397.33368202654	164683.12996789522	175681.9054118862	113302.34060384336	93761.14760573223	101590.62067342958	P00248
337835.41345740174	370097.40059600474	376303.20162236795	348377.31440033973	339615.2617418468	306847.96503182506	P00249
226305.8614895337	227944.16332943592	227975.18185808044	233750.48629241588	244708.30528543048	239668.83014314107	P00250
211993.47445776613	227448.21552912382	227082.46986163044	735133.1049336713	788359.796666928	755458.6277998828	P00251
323643.79391182226	370177.97321978625	363880.04871359456	810964.1106230692	822151.7419840259	782762.6237195843	P00252
275760.556331204	263553.98527551343	267414.08327878674	767483.7873351121	691177.9596105109	703754.059796617	P00253
189578.532993289	314807.1761771693	227504.30421478613	197721.6456563557	206528.48052325918	215449.62495723763	P00254
22473.09186985623	101091.16083236692	999683.3901522738	2941126.9102427047	1126256.1433729867	477537.12692913116	P00255
239773.25131634594	331168.08410211845	281010.24403141503	343886.97275963635	274991.5683204032	299736.11866422836	P00256
307802.59025922744	311481.95131263527	322835.1874797682	165877.53844807198	148517.16592452372	228177.5124408448	P00257
299168.22654451284	147324.21428468524	79685.05061646139	122086.23312084601	190489.77562664312	254230.77247127992	P00258
272270.98978109664	320545.68872433156	336314.8818751657	352949.0936969628	294464.9095677222	245228.73077551107	P00259
194557.0156028463	201748.15537660566	184934.62637335883	109093.13844982682	102390.99517641404	99687.47978982689	P00260
254230.4774077582	106232.87362002429	122257.60445841764	556545.0778632587	16939.134894290626	33660.97585834519	P00261
260108.23027219868	230913.8122816153	288344.14350508666	370719.35413811903	324643.9867580996	386517.58371810225	P00262
271977.06088980625	283396.4949243981	275257.4074287821	111706.65199053705	110863.18568973348	107870.75357198814	P00263
198013.217851382	209077.5662808447	202159.7843862375	86894.79865007816	85275.87200854588	82065.48757055875	P00264
170628.11475431515	79601.07616142262	11696.326548611105	60671.186760415636	101961.877013859	125704.0988042355	P00265
104275.82200341075	208565.6150137522	17541.837292682754	28123.02782967324	743083.2412755649	261814.2412957791	P00266
191530.97226855578	209434.762108954	209731.80070284184	149325.04242802074	171595.36959087284	328674.56194259657	P00267
