c1_0	c1_1	c1_2	c1_3	c1_4	c1_5	c1_6	c1_7	c1_8	c1_9	c2_0	c2_1	c2_2	c2_3	c2_4	c2_5	c2_6	c2_7	c2_8	c2_9	protein_id
343220.4442836279	251189.63783607562		348712.2053413062	143535.5100360624	169445.880317784	122495.44514538159	277952.4631878587	671468.4506203382	284654.93409731647	238225.19077363514		742427.6368036199	743807.7827358801	307452.68902727496	452332.7380158995			248996.33894600812	526397.6010147192	PROT_000023
201994.22580062438	179524.2414295564	333933.74257132615	91882.17688796985	261592.78212934092	347609.7487577925	171646.9028101682	111779.14243136725	113158.50128255901	256823.58071873456	495826.50811584166	485362.9737912873	369646.30422781175	276802.4169714582	794978.084710739	378302.7732384861	356854.5969160898	178221.03808503583	167988.59012338033		PROT_000024
62761.25295778912	210814.87127848004	70227.47598840357	64859.743727730835	59736.157158758964	721643.6122586569		472914.0962928833	71227.61644365282	671956.8957699059		536626.692078188	506918.1093014423	639650.7863041075	77748.95675366039	580801.8425240143	1168798.7460253034	571176.2800794252	3782269.375562111	170251.69208401153	PROT_000025
243257.4731840811	296716.6792159242		251719.813537704	199019.0230693225	263306.93018635886	207136.34368572323	258576.16041327344	246608.41776828462	239451.67743577695	290911.29030529165	225250.14063284727	260160.8295565094	240619.34036902827		305976.8716705828	250133.2044379644	283742.9252761495	292392.6280288939	327488.3837720707	PROT_000026
133982.97967484902	152402.60533922506	438801.10377562727	400267.00659772876	459121.34860614775	204124.6935525938	380421.4775860424	187590.85343215382		201010.41488789814	64259.37315201683	137454.5462515802	193752.88328545075		71157.79573797867	319216.69533741777	116673.04561342626	226102.40250441106		182048.13679642792	PROT_000027
	90100.18908933156	220732.48203039326	174399.65579416993	325876.2925679876	252673.6891371528	203787.7291429527	169358.87075767378	412583.6530638519		242189.36536425396	708895.4566992964	380287.88873956696	322494.9565760549	260701.34134202532	793165.1694396307	463768.2876265372	291355.70640605455	385596.4739242523	265139.3250156388	PROT_000028
514699.87952745834	343772.5165153417	301946.4560674948	238535.83428782472	196560.58099082645	212051.9201865186	296401.6814709632	111567.25373588891	358543.5596666127	290098.05124261975	121068.08154535748	93501.22352268663	300866.9034587385	276250.9947234285		141779.15181695667	119234.29146891824	207228.97910376842	105648.28700780262	227606.18239526005	PROT_000029
255883.6991033203	315427.75969876203	331884.54666700907	290961.16820310353	213798.15285345278	220240.64547214957	309321.58183457097	268815.30826546083	224707.13488435833	242518.2752625106	219494.56543288796	211110.6001972161	241493.84876130798	234075.91554985516	283114.2901516734	202955.92286558158	202144.05700053734	244623.2290242984	235084.41951939	339391.15039687906	PROT_000030
290657.18649108824	506646.81900756137	279673.35822190705	275535.80528615817	160329.81671547538	245274.10932133032	269327.5836256706	372002.3986633107		419831.8395091919		299913.47520531627		131337.76795408654	154782.77218259434		176877.50439274433	129604.85434582001	186113.67248958765	322355.18721294054	PROT_000031
166166.26484891778	180961.64704728403	204882.5565552023	232299.2247245869	315051.56783360406	471927.6777254718	180407.9395110838	240131.91009810712	606423.7981084164	261906.10391589874	191212.76704305757	319159.99188380956	663984.2288816462	516355.1981716311	652237.7155646619	590611.903244819	741947.2999764605	434786.6118901194	389034.7295334463	306892.95226874645	PROT_000032
545201.3509634326		457774.5225881887	410014.7991188107	364176.8341747034	411770.3732582475	419148.54863650684	384813.4725166482	587003.1008344097	525946.8891755935	137917.16000228917	150670.84022707675	178996.21842461397	158912.74787247117	193344.6961395258	237861.93514206802	201167.9903815992	152598.52026234	160274.52259425796	201818.79207245237	PROT_000033
104074.34920601497	283318.5928484575		241869.1881077211	133159.42159428413	169483.08037366736	139723.71283744797	299084.1173025076	147949.73972570454	290949.2805083978	279110.177664438	500570.06305882736	259749.50812318418	354793.57237415126	504830.2990009931	254555.34918348675	432526.0905475077	629523.3517100884	190371.01858683102	248725.17685821778	PROT_000034
603032.9715494169	446962.0618562525	329109.4591209905	641571.688353176	287274.83200356946	449878.8824325085	358696.21545381285	270332.7820279275	258059.5157330216	334337.8924667477	251431.79847219976	203671.3288739208	206743.87098963905	244269.2947335279	462310.186927197	219173.08885158075	193866.06693171067	170224.99879099202	282918.5580523486	140922.87320855897	PROT_000035
111271.66292138702	146708.58472225018	137544.71907140675	122503.52890090275	288141.26930000726	433483.3532639091	515543.8131825513	116437.51548035652		216642.84908014876	112633.87982678298	304082.59456963337		461283.4899295518	480263.69221358397	333402.7189588993	443170.9676200199	203287.00111042662		141486.35653897206	PROT_000036
148007.4057975722	132419.37525105727		209559.4856959498	183627.9144210534	95464.89423497046	225765.4790915357	331975.7611060858	275134.7893051029	151433.20283864657	157300.3538506836	117723.79285407682	115285.47057607102	200714.00954979536	129095.88543492637	64496.228315410895	73881.36616062507	178691.64744270736	77566.95409129145		PROT_000037
631096.3383955063	274947.3852836888	285530.45493025635	485927.7636791551	357420.65553059144	93615.4273718306	478671.3605304747		445485.42401617166		450201.3194064453	365871.30916949676	183732.2371764042	356150.8707025338	318037.21184525493	137880.03611717062		90285.89893274778	318887.0701391591	198007.95333748756	PROT_000038
	36456.342505826324			333067.41197088524	345275.4797995398	33990.923890649865	29402.52680449042		190354.26698146525	283697.2519134716		159378.91112010117	471039.72149504756		189281.32424940084	85051.3045709992	617048.3101247081			PROT_000039
152426.77900713554	199814.20643871056	322824.9597532741	123680.50911191004	517628.8353751284		87721.46056331224	417539.9317137761	119657.28770989901	181988.713703142	351166.5293513825	937665.5932687467	507991.6730346227	142923.80243075424	389161.9616817758	296672.7771566795	166018.55228703466	235768.28655780735	173890.8463068601	262572.65997669945	PROT_000040
168010.31230408204	249887.14793786046	158690.5094847098	163100.36281643153	114573.1848522481	154237.84826858915	117333.5047814973	155442.23265430907	148772.75494250254	191079.60099299118	276765.5731241952	407135.3577933676	305088.30985388445	373143.1247486969	274170.0487273128	349519.14514697465	507063.0888810547	452518.0426605564	282720.231949549	285531.7277285166	PROT_000041
115500.86161223192	133684.4048273795	103912.41617765432	127045.76388624115	152484.95782789856	136508.82525029557	113690.61175077227	138019.33013196118	106249.21342242199	139680.60073253102	132705.58717922049	106837.49634163697	104002.12595179636	140439.8910530966	124463.59763410957	114269.21652526873	133897.07420348623	150595.14082144806	136262.37120539462	146337.13185346892	PROT_000042
230008.94735269924	233888.37914534053	369740.03844106314	191930.11423181457	377514.6836051131		521244.0426466912	435166.14583450416	304473.3527395724	218535.60451781552		317514.8276518654	320235.80025860295	202203.2492038075	159959.84620539602	129596.38223171492	137454.71995772005	148579.57933504347	223109.08923086585	270543.38484516623	PROT_000043
393576.4387878143	65948.31999445974	195779.8142734607		219808.49015921424	144709.60180427245	118345.9040151277	153426.0352452352	173451.249939872	149295.43297865737	68165.74081668083	105275.66118194492	27756.73896874796	113912.52854808183	113923.45157767186	132989.5436694059		99139.62200483664	101269.72749546937	123145.67489384065	PROT_000044
634385.2270889488	535128.0472321555	353948.571183669	215341.35213936327		314171.0610378918	341687.48643241206	147537.88676438664	243121.03252285367		580393.2454835491	371548.9651661191	1263674.0556920636	262292.1822519395	427471.4383250453	342310.9324614765	525216.5583182272	473406.5079824642	674583.0787184266	308896.94447918807	PROT_000045
592969.8696175566	399822.1111410779			684788.4719826326	320414.9017246058		504479.3820848562	198280.52693572466	926186.7789484549	867147.0765656363	420726.4009704151	583583.7603363765	726302.7531764923	530805.4042954728	1315914.3627932041	1266760.886656919	382635.32642819366	413094.5403098586	1024060.7708021008	PROT_000046
367883.06734398776	174691.15560026997	185452.747263686	192204.6456315119	550035.2929664125	216974.82582980196	125689.82574190406	139840.29960758542	274101.29687288584	307445.8173584866	478542.554839203	416901.72081496124	409176.73704083567	901807.1751242148	219249.84486966123			302753.9058560624	629333.9048042602	312889.0295571814	PROT_000047
168816.74336505463	125947.2217424896	143970.45722284485	184860.47484912776	218604.50983976971	142769.50630530764	195886.52008336634	200260.29770018533	199809.6883259107	192125.0945173189	216534.57548761883	187988.96182428073	144911.17141605078	162775.66352681658	223377.62795055428	153883.4829238012	227005.81640324838	211711.68211360875	147577.27404438896	210999.25391981067	PROT_000048
448961.92053863115	259998.9064159324	287091.79746543744	307450.2515236376	255116.29554993229	317432.47149650817	259250.32747718602	346415.6496666626	256071.70401267175	270704.1750058768	100815.60629676456	132481.39063543756		88151.68579064001	127561.38372940778	112757.78788468712	122879.54117095731	98918.80170698997	117620.22401466951	123342.38242339363	PROT_000049
						168687.96971262855					466367.5862437688	181310.7990832557								PROT_000050
184764.31123699536	333871.60278977384	271872.79133068706	229009.57434886182	394982.6052288222	101085.73896727998	193129.55106173965	284839.55053183244	241113.19147399862	147307.81636846316	322983.19161909743	196353.78796828087	442391.55437288777	604682.63245433	286627.3970993344	391345.540867808	321095.7646503162	387550.18835867307	845712.2790498666	412574.2868685689	PROT_000051
193064.53019222856	245767.39875296724	174795.40407703124	235968.88000091325	338239.463399121	189632.983562471	304650.696463115	301114.8531921924	296236.8101477054	355795.7715452864	59577.49600662529	88380.59261742848	59050.71581567709	118020.52467351189	98623.10941741921	86214.16438267272	97468.31079758909	111933.40382817648	107713.22701083505	118175.7077409444	PROT_000052
437921.32757340826	445903.1593117029	462052.94641463686	410247.03510471265	376077.3049107991	474955.6646444327	418048.4013496324	369461.1544185924	412841.14105624653	356437.4394302605	443975.0501560655	411763.66198190465	454667.3379857542	364283.49004526855	432537.03391815984	538323.1466844558	449223.9614712919	430819.09888603026	450431.1373081893	427264.36199196114	PROT_000053
376845.56891013944	299050.49498047354	405803.7499382305	362388.9017290084	281591.9000402737	482043.83352786035	499142.54908897297	456888.7969941546	497618.0610399431	400510.16890197265	836685.2892210581	900316.8911450122	1451868.2714193624	1124265.366004299	819197.6633350612	1231992.0819157055	1112619.5479612492	879450.0182214109	839966.2038961602	826729.5596738147	PROT_000054
492907.30056138494	272803.712034016	620824.9864167185	154215.20530650739	360391.52230253455		356035.75624961616	246523.82973020594	387467.8938377414		245473.66422289584	410267.9950156087	324704.5124311787	501667.53108673514	1183549.2786837365		448371.21965212043			516131.71160666435	PROT_000055
103377.87245622664	214419.25649421517	415572.8578504887	74607.85377064894	180649.64530491363	280949.8120272916	161630.75393277165		138689.08614689638	120981.60993263725	211855.1443267915	241044.71428146132	161757.5193605783	134200.04076608788	367892.52066451457	557381.8191541749	124319.80543296265	455758.1830272018	302663.2957511597	322329.7791869446	PROT_000056
207232.0693816633	227789.52091598508	204013.97308206043	313318.95060757414	321430.9326156801	275924.2134256197	267196.424288527	353483.05949493323	196316.68680587105	207152.2097321308	916623.3235148195	919786.7743666422	1127930.385289489	1439722.9895342793	953912.91484604	1134054.942669046	1152694.664083132	972152.2275189155	621891.717442594	987623.8091099405	PROT_000057
314903.7909641863	328712.97199703695	213608.28903713726	438556.3665595751		269187.9516389758	591735.5764166896	312866.23376992496	443267.37902226043	158620.45839791466	314776.75799364224	237658.3055983716	178729.3278872771	112919.72142245327	165703.80067204754	155213.2795845886	121933.27665574958	473614.8557671608	284438.85676942265	180724.57650166738	PROT_000058
226883.9491409221	208451.81914176565	183345.8080469697	356878.60439243197	199891.25743874523	250851.96588223893	265995.9906453955		205758.54336753086	195873.80380988048	101368.61415503375	90974.50018778675	138463.02636658592	106805.7463237761	110235.33064308825		126178.7878068146	84379.46773169232	82138.45488262527	170925.50209675205	PROT_000059
247215.9730447376	209516.04121311253	192330.66311075582	188689.84961895263	230503.11582999738	186906.43029634395	181363.7188118845	201865.16902448717	294097.73363235954	190676.34941470603	180630.8044463168	202910.10066744304	192322.20949071654	231914.8429919143	237883.4493316143	209264.87597847625	278398.6118496087	265709.53020413197	274500.18001514877	205155.97457833763	PROT_000060
233731.90162427252	242169.44306386347	143120.38174024256	189231.28162578892	208090.442299737	129090.7948864112	193311.87338030466	223448.91497843116	194331.61651168857	251543.35497129176	621172.509688901	516042.93556559156	612069.2996775605	439271.7426029266	379107.9229071069	507899.2876817224	762330.3686992021	466630.31927779486	714468.2043652341	500161.2354197557	PROT_000061
207645.19464893342	184579.99585165185	196528.43148190287	198141.52827136338	219257.97095533804	197235.36159082656	227609.07910857507	208191.62123437913	255050.38151292145	211727.34628918147	183123.40109497105	150011.96736499586	189647.84160466335	191152.9468996938	190238.8367295389	188455.91995553405	165468.0700704297	162318.913623658	156680.05192504553	168113.68382281216	PROT_000062
	177543.56677712488	224288.6360259281	131993.65442941227	217939.38212443906	174655.14767735967	300600.2905633643	189479.24582322213	280946.9110976344	176534.0273069816	72408.28787529156	55386.17578842391	53671.71724895835	42212.23003851508	53764.82068960041	42518.36273723341	50218.05046860842	71246.46066586816	90694.1832806526	54513.32401759974	PROT_000063
161018.12169026549			348769.68286822306	218555.2088930008	248641.07173229344		177874.9092472058		197424.75693265157	1005962.8684775667	897084.3396922	508297.2735392959	850779.3012996643		858141.4734746045	755312.9802885249	995335.8743134793	898011.9650371252	1090799.9143322322	PROT_000064
443145.4792881799	319871.0592573494	348095.0844301589	366440.6081289316	437684.9046119421	473786.84100962273	278145.31919943617	359454.9141688331	376016.4735608416	495829.2390017425	122356.72084933562	106519.13312621867	71949.22794058663	130654.10569980303	87786.77555189814	110001.09636102027	119218.05145511027	96598.5329650706	120167.7067566547	118377.20868444377	PROT_000065
154878.28331745448	103282.62305724749	130863.540931796	163423.30856169504	198918.72983290654	252321.06811681352	202813.94679138486	183912.01878300624	283123.0881552582	310050.03869470477	112177.28663300462	93708.5089723927	97069.540513804	101101.03426711379	267157.92185751145	112986.57866730099	115935.70610186963	73542.8494036468	92174.34783895979	92537.41183526794	PROT_000066
572813.4603145907	128096.66178322257	340161.9600684172	321947.3453615411		452355.05856274354	304533.7768992405	165459.6205335693	218198.65234826328	546852.6879865022	74604.84016437132	122643.92520638567	125408.71396853018	254923.38150051745		348216.7255938455	169481.86938863224	273846.97982218734	368825.06618297007	168421.01148046897	PROT_000067
257712.29397556253	232230.13372827333	272715.6242864924	252848.2678243213	404147.22018760524	397231.839454009	328413.31893043406	378440.22557515505	256158.114510633	251408.45322012182	94448.4554894629	111963.01142280364	92377.62820603239	86996.85891678018		80349.0599640195	101032.27715814783	103484.41501876358	134484.76401796506	119137.19952157165	PROT_000068
201243.7442503007	277800.1253363607		551737.3629518322	155229.18870031534	252481.8535440869	389057.34433357586	234542.46314306444	258939.8611241171	299162.4514298744	115152.20795797868	136790.40548670886	208840.52503496065	248295.2921888189		97265.52997898377	334083.5416892809	97941.69919346178	159870.0278752529	206633.014346756	PROT_000069
	167425.74632490153	267622.3155472916	224567.5198666995	127295.4091732686	185529.4423780023	176142.04415850123	270645.5720746755	170478.5149321751	202561.60080653362	64722.720071985575	47760.591973993935	65297.479487048906	52758.72929800055	49809.26288104809	35414.88191944828	45850.97249763302	79539.63846967141	52513.86505259769	63847.55074372692	PROT_000070
	304807.8016886645	108011.59614539174	128953.82997255625	280965.2607224192	214352.29992389856	227786.73047530773	290751.2020273251	145062.79984589547	357277.2153477777	233179.22610015026	389918.8606103673	208639.56281414506	326489.7396593704	778847.8736532261	274557.4607354884	258215.81053984602	270248.9719316558	382177.3303377435	532004.4385260995	PROT_000071
464601.54742015834	573491.1818055743		550956.738688738	519954.4468596862	377074.96165602055	467793.0464675935	635000.8534276524	472019.54456468427	462834.863113379	1451365.1617867143	1972195.8433404563	2068678.7286968464	1762736.8309590833	2309534.143749021		1738059.3074638403	2628608.2672786834	2347986.8412504885	2154549.837320175	PROT_000072
307698.13345379464	263779.8691547407	323508.3158806824	329224.9972700466	213267.00262015001	342566.1265586653	243256.18373337033	222546.38191905792	181030.2197418956	284308.85548435786	1316560.5767858378	803523.5320931358	699804.360757316	908299.4230673217	995961.4925126162	817812.3327173064	667988.926886501	908518.1255271758	1035310.2184258889	682022.724292871	PROT_000073
	267721.188680402		172560.22527753477	303459.05553029187	305801.9857938951	567114.6565077283	192044.55335603334	526736.6875503513	159346.05180151225	694482.1019704452	477978.50956736394	431115.0938387602	439353.48770912667	323301.51487820776	538997.9630550956	615054.826722516	786869.921381053	196056.4850585785	853055.9366980713	PROT_000074
290435.62842737924	418659.4479838665		219177.32348510344	362414.52800381824	321916.8839607872	357300.0754384999	350775.2102049988	333663.69233660126	335659.0444026829	114455.34436717772	117316.95786307013	126484.47983731853	137980.86088244698	100656.51175423573	113907.62503878734	101741.3641612684	165416.211802883	102696.82721971878	150846.93278885007	PROT_000075
263872.6240035635	346647.84347339324	412918.38006334857	420671.44211865135	348070.6222460512	351583.41034195677	513805.16875314823	354068.87371344405	412302.9769107466	355212.2911020663	434590.4413862247	527994.1061689088	436680.98651515157	422364.0346805468	425138.68844510434	479063.56249721104	307415.94923625473	424137.1442357237	301731.77414562105	405056.21559377224	PROT_000076
351280.05293449445	241497.76401923737	156080.67088830363	120055.11574064156	264941.78227136476	290871.25103622745	238067.30449047487	130924.28345016728	334730.8194827349	272714.5016789901	176223.53088853456	150318.16866150367		133140.84258724487	142915.62301645117	105107.44572921783	73673.55405148628	135602.29241015352	209372.48705228424	59250.77140146968	PROT_000077
184716.4039482143	284375.98332468024	112765.27183130999		213486.71702717422	184769.90229322133	139010.9071820251	237829.27727202803	191522.55374467012	351259.15195262805	111658.63508327513	131305.3097965188		101584.38710802683	194734.07101953716	85581.48467182869	70650.8672228221	111597.88671418157		201406.37331863714	PROT_000078
65551.44794716555	344828.03239940805	78950.3483854391	135672.1764728565	26290.979417027913		261737.69937537282		165216.32701091218	184492.8856947395	136793.72855942443		161122.63864710953	199995.95697405783		101676.2408180082	219176.99888535126	39751.43363988041	202053.02243702565	1905279.4647625436	PROT_000079
200972.14930181726			260372.58146687972	195260.59870027073	106821.92029833105	181086.08668733228	347688.0411966905		368285.6297073644	205694.25131595437	86675.81598939451	132322.24540283953	219180.84045356972		130107.75549736327	139219.08774829877	197021.9374086614	86452.48356014736	268604.1024787199	PROT_000080
346906.2578557392	302782.44425982714	312168.344623839	322322.42182058276	383668.10421237175	419015.70514024596	375575.6547782314	303893.8577620839	325823.28265238996	355987.9147090764	367590.8855298684		412906.2509540847	369023.6594474302	429381.3484045361	413851.969652986	329653.7318142683		428614.48840108985	374268.94719842327	PROT_000081
328463.3798711993	272633.6230168965	323399.104010435	249554.53054096785	224188.06930840688	297407.90722298867	118333.72482066533	245706.63705759798	171357.2226715005	567091.9573069924	573654.1017603492	301798.8200353086	408642.00014430593		988289.1902024985		389321.08640691324	641148.6864327507	341894.22421887616	267210.0738704196	PROT_000082
236199.06678917745	171871.78017993545	272213.20305062964	405205.1749513327		153231.79637662033	256479.642817151	604136.6169409858	177230.64615149167	459599.74563226977	678261.1185322579		166397.45488175348	915267.7598180657		438765.1973144948	231329.58392713353		415350.6478258862		PROT_000083
	216076.92997370678	340583.81033342634	288118.975979988	135064.8155037816	445867.7179120511	258483.08850581615	185854.32320052822	461436.1522694074	203461.4160867843	383145.67815435905	482676.72381946916	365000.9805917657	330801.0464228955		730684.3111979059	620564.4028041032	609661.820727445	817334.4560484844	656858.8339190846	PROT_000084
408998.5081556871	296103.15241716057	553011.6562409232		289341.9848936896	366516.727922631	369356.9136760216	365145.15210480714		764620.8668680679	358851.33867726085	216407.6557527109		181535.0722560758	191088.03411136757	310652.99147877056	256019.34120141214	154865.1745332228	158449.44640337245	125192.85976283517	PROT_000085
217231.00752079525	218111.59290326008	190073.59471098369	211223.6890137704	244257.29902946707	185454.89515212533	206021.7399064104	233855.29069198176	269829.19672836026	196217.55168081057	215871.28876933895	261195.49631124455	214898.21056198925	177929.91462743818	234551.49053444093	250461.37817240504	233910.64627592004	242840.14998477796	253932.2759452955	257625.89169284396	PROT_000086
	178970.7710759774	262979.2668090518	75105.71835679395	152016.31313870943	290287.89081784897	190489.33532382734	210453.9171947743	346425.813431528	238491.53677687352		69086.06026271432	117349.17888350444	115850.7882330163	251177.35143038497	251526.862014679	97501.80264184998	119464.35536952343		198848.8672109927	PROT_000087
377460.98217672546	298413.5343096166	401943.30142478575	396565.80738310626	352837.19131205475	363232.7946965432	389585.63115186465	331949.0159011062	283622.7835613203	366283.6819385779	433748.609281835	362577.7495141465	349838.4399877465	387277.7259298538	365206.8768933251	330255.5005908837		328065.0584861591	307456.26214394806	424582.2312097402	PROT_000088
299260.83762090036	256757.43948708713	311463.81971413427	274995.19326992554	223917.01720366994	289692.520060927	178769.30452729462			195043.43306175864	543015.0480366389	658752.8739751923	540946.7917144748	800755.8008310855	622846.8511182042	659317.2006988128	457841.3732577746	812564.1093662512	680077.4416134668	743324.0447112896	PROT_000089
